College Name,Address,District,Type
VISHWANIKETAN'S INSTITUTE OF MANAGEMENT ENTREPRENEURSHIP AND ENGINEERING TECHNOLOGY (I MEET),"SURVEY NO. 52 KUMBHIVALI, ON MUMBAI-PUNE EXPRESSWAY, NEAR KHALAPUR TOLL NAKA ,TAL-KHALAPUR, DIST- RAIGAD",RAIGAD,Private-Self Financing
A. P. SHAH INSTITUTE OF TECHNOLOGY,"SURVEY NO. 12, OPP. HYPERCITY MALL, KASARVADAVALI, GHODBUNDER ROAD, THANE (W) - 400615",THANE,Private-Self Financing
ADSUL'S TECHNICAL CAMPUS,"AT-CHAS, CHAS-NIMBLAK BYPASS ROAD, AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
"GOVERNMENT POLYTECHNIC, AWASARI (KHURD)","AT POST- AWASARI (KHURD), TAL- AMBEGAON, DIST- PUNE",PUNE,Government
AGNEL TECHNICAL COLLEGE (POLYTECHNIC),"FR. AGNEL ASHRAM, BANDSTAND, BANDRA(W)",MUMBAI SUBURBAN,Govt aided
"SHRI SIDDHESHWAR DEVASTHAN TRUSTS,SHRI SIDDHESHWAR WOMENS POLYTECHNIC,SOLAPUR","T.P. II,PLOT NO 74,RUPA BHAVANI MANDIR ROAD,BHAVANI PETH,SOLAPUR",SOLAPUR,Private-Self Financing
SAMRAT ASHOK POLYTECHNIC,"SR.NO.410/1, DERABARDI, DHULE ROAD, CHALISGAON â 424 101",JALGAON,Private-Self Financing
GOVERNMENT POLYTECHNIC MIRAJ,"NEAR MAJI SAINIK VASAHAT VIDYANAGAR, MIRAJ",SANGLI,Government
"SMT. PREMALATAI CHAVAN POLYTECHNIC, KARAD","271, MANGALWAR PETH, KARAD",SATARA,Private-Self Financing
NATH POLYTECHNIC PAITHAN,"PLOT NO.B-1, MIDC INDUSTRIAL AREA,AURANGABAD ROAD,PAITHAN",AURANGABAD,Private-Self Financing
SIR J. J. INSTITUTE OF APPLIED ART,"DR. D. N. ROAD, FORT",MUMBAI CITY,Government
GOVERNMENT POLYTECHNIC JALNA,"GOVERNMENT POLYTECHNIC JALNA,NAGEWADI AURANGABAD ROAD JALNA.431203(M.S.)",JALNA,Government
DEVI MAHALAXMI POLYTECHNIC COLLEGE,"MHASKAL, NEAR GANESH TEMPLE, TITWALA, TAL KALYAN",THANE,Private-Self Financing
CUSROW WADIA INSTITUTE OF TECHNOLOGY,"19, BUND GARDEN ROAD, PUNE",PUNE,Govt aided
GOVERNMENT COLLEGE OF ART AND DESIGN AURANGABAD,"KIL E ARK, ZANANA MAHAL, AURANGABAD.",AURANGABAD,Government
HON SHRI BABANRAO PACHPUTE VICHARDHRA TRUST'S PARIKRAMA POLYTECHNIC,"A/P KASHTI,TAL: SHRIGONDA,DIST: AHMEDNAGARMAHARASHTRA 414701",AHMEDNAGAR,Private-Self Financing
R. C. PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH,"NEAR KARWAND NAKA, SHIRPUR DIST. DHULE MAHARASHTRA 425405",DHULE,Private-Self Financing
B.L.PATIL POLYTECHNIC,NEAR OLD POLICE STATION KHOPOLI TAL KHALAPUR,RAIGAD,Private-Self Financing
SARASWATI INSTITUTE OF TECHNOLOGY,"PLOT-46/46A, BEHIND MSEB SUB STATION, SECT-5, NEAR UTSAV CHOWK, KHARGHAR",RAIGAD,Private-Self Financing
RASIKLAL M. DHARIWAL SINHGAD TECHNICAL INSTITUTES CAMPUS,"111/1 WARJE, OFF KATRAJ - DEHUROAD BYEPASS, TALUKA HAVELI",PUNE,Private-Self Financing
NBN SINHGAD TECHNICAL INSTITUTES CAMPUS,"10/1 AMBEGAON (BK), TALUKA HAVELI, DIST. PUNE 411041",PUNE,Private-Self Financing
GOURISHIV POLYTECHNIC KHATAV,GAT NO. 1230 A/P-KHATAV TAL-KHATAV DIST-SATARA,SATARA,Private-Self Financing
"SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY, SOLAPUR","GAT NO. 16/2, SOLAPUR-BARSHI ROAD, A/P. KHED, TALUKA- NORTH SOLAPUR.",SOLAPUR,Private-Self Financing
LATE VASANTDADA POLYTECHNIC,"E-2/F-3., NEW NANDANVAN,NEAR WATER TANK, NAGPUR",NAGPUR,Private-Self Financing
"P.DR.V.V.P.INSTITUTE OF TECHONOLOGY & ENGINEERING (POLYTECHNIC), PRAVARANAGAR","A/P-LONI, TAL-RAHATA, DIST-AHMEDNAGAR (M.S.)",AHMEDNAGAR,Private-Self Financing
"G. H. RAISONI COLLEGE OF ENGINEERING, NAGPUR.","CRPF GATE NO.3, DIGDOH HILLS, MIDC AREA, HINGNA ROAD, NAGPUR",NAGPUR,Private-Self Financing
SAHYADRI VALLEY COLLEGE OF ENGINEERING & TECHNOLOGY,"AT GAT NO.1941, RAJURI, TALUKA: JUNNER",PUNE,Private-Self Financing
ABDUL RAZZAK KALSEKAR POLYTECHNIC,"PLOT NO. 3, SECTOR 16, KHANDAGAON, THANA NAKA, NEW PANVEL",MUMBAI SUBURBAN,Private-Self Financing
"GOVERNMENT POLYTECHNIC, PEN","SHIVAJINAGAR, RAMWADI, PEN",RAIGAD,Government
SANGHAVI COLLEGE OF ENGINEERING,"GUT NO.166, VARVANDI, TALUKA: DINDORI DIST.: NASHIK",NASHIK,Private-Self Financing
DR. R. N. LAHOTI POLYTECHNIC SULTANPUR,"JALNA ROAD SULTANPUR, TQ. LONAR, DIST. BULDANA",BULDHANA,Private-Self Financing
SVKM'S SHRI BHAGUBHAI MAFATLAL POLYTECHNIC AND COLLEGE OF ENGINEERING,"IRLA-JUHU RD, NATAKKAR RAM GANESH GADKARI MARG, VILE PARLE(WEST)",MUMBAI SUBURBAN,Govt aided
PRIYADARSHINI COLLEGE OF ENGINEERING,"NEAR C.R.P.F. CAMPUS, HINGNA ROAD, NAGPUR",NAGPUR,Private-Self Financing
MUCHHALA POLYTECHNIC,"G. B. ROAD, KAVESAR, THANE(W),THANE",THANE,Private-Self Financing
MIT ACADEMY OF ENGINEERING,"ALANDI(D),TAL-KHED,DIST-PUNE",PUNE,Private-Self Financing
YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,A/P CHARATHE (VAZARWADI) TAL. SAWANTWADI DIST. SINDHUDURG,SINDHUDURG,Private-Self Financing
FLORA INSTITUTE OF TECHNOLOGY,"SR. NO.-49, VILLAGE - KHOPI, TAL - BHOR, DIST - PUNE",PUNE,Private-Self Financing
SHANKARRAO DHAWAD POLYTECHNIC,"RAJIV NAGAR, SOMALWADA, WARDHA ROAD, NAGPUR",NAGPUR,Private-Self Financing
NIKAM INSTITUTE OF TECHNOLOGY (POLYTECHNIC),"MORANE-GONDURBYPASS ROAD,GONDUR TAL-DIST-DHULE (MS)",DHULE,Private-Self Financing
SYDENHAM INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH AND ENTREPRENEURSHIP EDUCATION (SIMSREE),B-ROAD CHURCHGATE,MUMBAI CITY,Government
GODAVARI COLLEGE OF ENGINEERING,"PLOT NO. P-51, ADDL MIDC, BHUSAWAL ROAD, DR. ULHAS PATIL NAGAR,",JALGAON,Private-Self Financing
INDSEARCH INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,"S.NO. 37/2/2/4, BAVDHAN KHURD, PUNE-411021",PUNE,Private-Self Financing
"ZEAL INSTITUTE OF BUSINESS ADMINISTRATION, COMPUTER APPLICATION & RESEARCH","S. NO 39, NARHE, BEHIND BHAVIRAVNATH TEMPLE, NARHE-DNAYARI ROAD, OFF SINHGAD ROAD,",PUNE,Private-Self Financing
"NAGESH KARAJAGI ORCHID COLLEGE OF ENGINEERING AND TECHNOLOGY, SOLAPUR.","POST BOX NO. 154, GUT NO. 16, SOLAPUR-TULJAPUR ROAD, TALE HIPPARAGA, SOLAPUR. TAHSIL- NORTH SOLAPUR, DIST. SOLAPUR. PIN CODE- 413 002. MAHARASHTRA.",SOLAPUR,Private-Self Financing
INDIRA INSTITUTE OF MANAGEMENT SCIENCES,"AT POST VISHNUPURI, TQ DIST NANDED-06",NANDED,Private-Self Financing
"DECCAN EDUCATION SOCIETY'S CHINTAMANRAO INSTITUTE OF MANAGEMENT DEVELOPMENT AND RESEARCH, SANGLI","P.O. WILLINGDON COLLEGE , DES CAMPUS, VISHRAMBAG ,SANGLI",SANGLI,Private-Self Financing
DR BABASAHEB AMBEDKAR TECHNOLOGICAL UNIVERSITY LONERE,DR BABASAHEB AMBEDKAR TECHNOLOGICAL UNIVERSITY LONERE,RAIGAD,State Government University
SHRI SANT GAJANAN MAHARAJ COLLEGE OF ENGINEERING,"ENGINEERING CAMPUS , KHAMGAON ROAD, SHEGAON 444 203 DIST BULDHANA MAHARASHTRA",BULDHANA,Private-Self Financing
BALAJI INSTITUTE OF MANAGEMENT AND HUMAN RESOURCE DEVELOPMENT (BIMHRD),"SURVEY NO. 55/2-7, TATHAWADE, PUNE-411033",PUNE,Private-Self Financing
"INSTITUTE OF MANAGEMENT TECHNOLOGY, NAGPUR","INSTITUTE OF MANAGEMENT TECHNOLOGY, NAGPUR35 KM MILESTONE, KATOL ROAD, NAGPUR - 441502, INDIA.PHONE : +91-712-2805000, FAX : +91-712-2805591.",NAGPUR,Private-Self Financing
PANKAJ LADDHAD INSTITUTE OF TECHNOLOGY AND MANAGEMENT STUDIES,"CHIKHLI ROAD, YELGAON, BULDANA",BULDHANA,Private-Self Financing
SCHOOL OF MANAGEMENT STUDIES,"NORTH MAHARASHTRA UNIVERSITY, POST BOX NO. 80, UMAVI NAGAR, JALGAON 425001",JALGAON,State Government University
NASHI DISTRICT MARATHA VIDYA PRASARAK SAMAJA'S INSTITUTE OF MANAGEMENT RESEARCH & TECHNOLOGY,"MVP CAMPUS, GANGAPUR ROAD,NASHIK-02",NASHIK,Private-Self Financing
INTERNATIONAL INSTITUTE OF MANAGEMENT & HUMAN RESOURCE DEVELOPMENT (W),"SURVEY NO 54 NERE MARUNJE, NEAR HINJEWADI INFOTECH PARK, PUNE",PUNE,Private-Self Financing
JANKIDEVI BAJAJ INSTITUTE OF MANAGEMENT STUDIES,"SIR VITHALDAS THACKERSEY VIDYA VIHAR VIHAR, JUHU TARA ROAD, SANTACRUZ(WEST), MUMBAI-400049.",MUMBAI SUBURBAN,State Government University
KARMAYOGI INSTITUTE OF TECHNOLOGY,"GAT NO. 124 AND 125, AP. SHELVE, TAL. PANDHARPUR, DIST. SOLAPUR. PIN 413304. MAHARASHTRA",SOLAPUR,Private-Self Financing
"VIDYA BHARATI MAHAVIDYALAYA, DEPARTMENT OF RESEARCH & PG STUDIES AND MANAGEMENT","C.K. NAIDU ROAD,CAMP, AMRAVATI(M.S.) - 444602",AMRAVATI,Private-Self Financing
SHRI BALASAHEB TIRPUDE COLLEGE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY,"1, NASHIKRAO TIRPUDE MARG, CIVIL LINES ,SADAR , NAGPUR",NAGPUR,Private-Self Financing
VIDYAVARDHINI'S COLLEGE OF ENGINEERING AND TECHNOLOGY,K T MARG VASAI ROAD WEST,THANE,Private-Self Financing
"KCT'S, K.R.SAPKAL COLLEGE OF MANAGEMENT STUDIES, ANJANERI,NASHIK","KALYANI CHARITABLE TRUST'S KALYANI HILLS, SAPKAL KNOWLEDGE HUB, ANJANERI, TAL-TRIMBAKSHWAR, DIST-NASHIK,STATE-MAHARASHTRA PINCODE-422212",NASHIK,Private-Self Financing
D. Y. PATIL INSTITUTE OF MASTER OF COMPUTER APPLICATIONS AND MANAGEMENT,"SECTOR NO - 29, NIGDI- PRADHIKRAN, AKURDI, PUNE - 411044",PUNE,Private-Self Financing
PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,"PILLAI'S HOCL EDUCATIONAL CAMPUS, RASAYANI, KHALAPUR, VIA PANVEL, RAIGAD",RAIGAD,Private-Self Financing
JSPM'S BHIVARABAI SAWANT INSTITUTE OF TECHNOLOGY & RESEARCH,"GAT NO. 720/1&2, PUNE â NAGAR ROAD, WAGHOLI,TALUKA-HAVELI,DISTRICT-PUNE. 412207",PUNE,Private-Self Financing
GURU NANAK INSTITUTE OF ENGNEERING & TECHNOLOGY,"KHASARA NO 95, MOUZA DAHEGAON, NAGPUR",NAGPUR,Private-Self Financing
S. B. PATIL COLLEGE OF ENGINEERING,"A/P-VANGALI, TAL-INDAPUR, DIST-PUNE 413106",PUNE,Private-Self Financing
"G H RAISONI COLLEGE OF ENGINEERING AND MANAGEMENT, JALGAON","GAT NO.57/1,SHIRSOLI ROAD, MOHADI, JALGAON",JALGAON,Private-Self Financing
SINHGAD INSTITUTE OF BUSINESS ADMINISTRATION AND RESEARCH,"NEAR PMC OCTROI POST, KONDHWA - SASWAD ROAD, KONDHWA ( BK. ),",PUNE,Private-Self Financing
SINHGAD INSTITUTE OF BUSINESS MANAGEMENT,PLOT NO 126 MHADA COLONY CHANDIVALI POWAI,MUMBAI SUBURBAN,Private-Self Financing
PILLAI HOC INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"PILLAI'S HOCL EDUCATIONAL CAMPUS, RASAYANI, KHALAPUR, VIA: PANVEL",RAIGAD,Private-Self Financing
JAYAWANTRAO SAWANT INSTITUTE OF MANAGEMENT & RESEARCH,"SR. NO. 58, INDRAYANI NAGAR , HANDEWADI ROAD, HADAPSAR, PUNE 28",PUNE,Private-Self Financing
NUTAN MAHARASHTRA INSTITUTE OF ENGINEERING & TECHNOLOGY,"""VISHNUPURI, TALEGAON STATION, TAL : MAVAL, DIST : PUNE - 410507",PUNE,Private-Self Financing
ISMS TIRUPATI INSTITUTE OF MANAGEMENT,"GAT NO. 110A, SERVEY NO. 24, PUNE SATARA ROAD, NEXT TO KATRAJ TUNNEL, NEAR GOGALWADI PHATA & BEHIND SHINDEWADI OCTROI NAKA, SHINDEWADI, TAL - BHOR, DIST - PUNE 4112205.",PUNE,Private-Self Financing
DR. MOONJE INSTITUTE OF MANAGEMENT & INFORMATION TECHNOLOGY,"RAMBHOOMI, B. M. COLLEGE CAMPUS, GANGAPUR ROAD, NASHIK - 422005",NASHIK,Private-Self Financing
D. Y. PATIL COLLEGE OF ENGINEERING & TECHNOLOGY,"KASABA - BAVADA, KOLHAPUR.",KOLHAPUR,Private-Self Financing
C. H. M. E. SOCIETY'S DR. MOONJE INSTITUTE OF MANAGEMENT & COMPUTER STUDIES,"RAMBHOOMI, B. M. COLLEGE CAMPUS GANGAPUR ROAD, NASHIK - 422005",NASHIK,Private-Self Financing
RAMRAO ADIK INSTITUTE OF TECHNOLOGY,"DR D. Y. PATIL, VIDYANAGAR, SECTOR 7, NERUL",THANE,Private-Self Financing
GURU NANAK INSTITUTE OF MANAGEMENT STUDIES,C/O KHALSA COLLEGE CAMPUS MATUNGA (E) MUMBAI 400 019,MUMBAI CITY,Private-Self Financing
MET'S INSTITUTE OF MANAGEMENT,"BHUJBAL KNOLWEDGE CITY, MET LEAGUE OF COLLEGES, ADGAON, NASHIK - 422003",NASHIK,Private-Self Financing
"PROGRESSIVE EDUCATION SOCIETY'S MODERN COLLEGE OF ENGINEERING, PUNE","1186 A, SHIVAJINAGAR, OFF. J.M. ROAD, TAL: HAVELI, PUNE-411005, MAHARASHTRA, INDIA",PUNE,Private-Self Financing
TRINITY COLLEGE OF ENGINEERING & RESEARCH,"KONDHAWA-SASWAD ROAD, S. NO. 25 & 27, POST: PISOLI, POST/OFFICE: YEWALEWADI(BOPDEV GHAT), TAL: HAVELI, DIST: PUNE",PUNE,Private-Self Financing
"NSCT'S INSTITUTE OF BUSINESS MANAGEMENT & RESEARCH, CHAKAN","94/1 B, CHAKRESHWAR NAGAR, NEAR CHAKRESHWAR TEMPLE, CHAKAN TAL - KHED, DIST - PUNE, PIN 411007",PUNE,Private-Self Financing
PRAMOD RAM UJAGAR TIWARI SAKET INSTITUTE OF MANAGEMENT,"CHINCHPADA ROAD, KATEMANEVLI, SAKET VIDYANAGARI MARG, KALYAN(E)",THANE,Private-Self Financing
INTER INSTITUTIONAL COMPUTER CENTRE,"MAHATMA JYOTIBA PHULEY EDUCATIONAL CAMPUS, AMRAVATI ROAD",NAGPUR,State Government University
SINHGAD INSTITUTE OF MGMT & COMPUTER APPLICATION,"S. NO.49 , OFF WESTERLY BYPASS MUMBAI-PUNE EXPRESSWAY NAHER AMBEGAON, PUNE",PUNE,Private-Self Financing
VMV COMMERCE JMT ARTS & JJP SCIENCE COLLEGE,WARDHAMAN NAGAR,NAGPUR,Private-Self Financing
"DEPARTMENT OF MNAGEMENT SCIENCES & RESEARCH J.M.PATEL COLLEGE, BHANDARA",J.M.PATEL COLLEGE BHANDARA 441904 (M.S.),BHANDARA,Private-Self Financing
SCHOOL OF COMMERCE AND MANAGEMENT SCIENCES,"SWAMI RAMANAND TEERTH MARATHWADA UNIVERSITY, DYANTEERTH, VISHNUPURI, NANDED - 431606",NANDED,Government
BRAHMA VALLEY INSTITUTE OF MANAGEMENT,"BRAHMA VALLEY EDUCATIONAL CAMPUS GAT NO. 592, TRIMBAK ROAD, ANJANERI, NASHIK- 422 213",NASHIK,Private-Self Financing
VENKATESHWARA INSTITUE OF MANAGEMENT,"A/P PETH NAKA GAT NO. 2665, PUNE BANGLORE NH4 HIGHWAY TAL:-WALWA DIST:SANGLI.",SANGLI,Private-Self Financing
VPM'S DR. V.N.BEDEKAR INSTITUTE OF MANAGEMENT STUDIES,"'JNANADWEEPA', CHENDANI BUNDER ROAD THANE-400601",THANE,Private-Self Financing
SARDAR PATEL COLLEGE OF ENGINEERING,"MUNSHI NAGAR, ANDHERI(W),",MUMBAI CITY,Govt aided
GANGAMAI COLLEGE OF ENGINEERING,AT POST NAGAON TAL. DIST. DHULE,DHULE,Private-Self Financing
"PRIYADARSHINI LOKMANYA TILAK INSTITUTE OF MANAGEMENT STUDIES & RESEARCH, NAGPUR","OPP. LATA MANGESHKAR HOSPITAL, DIGDOH HILLS, HINGNA ROAD, NAGPUR- 440 019.",NAGPUR,Private-Self Financing
SGB AMRAVATI UNIVERSITY,TOPOWAN ROAD CAMP,AMRAVATI,State Government University
SIDDHANT INSTITUTE OF BUSINESS MANAGEMENT,"VILLAGE: SUDUMBARE, TALEGAON CHAKAN ROAD, TALUKA: MAVAL, DISTRICT: PUNE - 412109",PUNE,Private-Self Financing
"GOVERNMENT COLLEGE OF ENGINEERING, AURANGABAD STATION ROAD. CHHATRAPATI SAMBHAJINAGAR - 431005","GOVERNMENT COLLEGE OF ENGINEERING STATION ROAD OSMANPURA, AURANGABAD - 431 005 (MAHARASHTRA)",AURANGABAD,Government
INSTITUTE OF TECHNOLOGY AND MANAGEMENT NANDED,VIP ROAD NANDED .-431602,NANDED,Private-Self Financing
KOTI VIDYA CHARITABLE TRUST'S ALAMURI RATNAMALA INSTITUTE OF ENGINEERING AND TECHNOLOGY,"SHEREPADA,VILLAGE SAPGAON,TALUKA -SHAHAPUR,DISTRICT-THANE",THANE,Private-Self Financing
"BHARATI VIDYAPEETH INSTITUTE OF MANAGEMENT, KOLHAPUR","BHARATI VIDYAPEETH UNIVERSITY INSTITUTE OF MANAGEMENT, KOLHAPUR KADAMWADI ROAD, KOLHAPUR-416003 MAHARASHTRA, INDIA.",KOLHAPUR,Private-Self Financing
BHARAT RATNA INDIRA GANDHI COLLEGE OF ENGINEERING,"GAT NO 58/3, PUNE- SOLAPUR NATIONAL HIGHWAY NO. 9, NEAR SOLAPUR UNIVERSITY, KEGAON, SOLAPUR.",SOLAPUR,Private-Self Financing
"GOVERNMENT COLLEGE OF ENGINEERING ,JALGAON(M.S.)","NH-6,OPPOSITE TO DIC OFFICE,JALGAON -425002 MAHARASHTRA",JALGAON,Government
JAGADAMBHA COLLEGE OF ENGG & TECHNOLOGY,"SURVEY NO:167/1,167/2, 163 ARNI ROAD,KINHI YAVATMAL-445001",YAVATMAL,Private-Self Financing
FR. C. RODRIGUES INSTITUTE OF TECHNOLOGY,"FR. AGNEL TECHNICAL EDUCATION COMPLEX, SECTOR 9 A, NEAR NOOR MD. MASJID.",THANE,Private-Self Financing
ANJUMAN-I-ISLAM'S M. H. SABOO SIDDIK COLLEGE OF ENGINEERING,"8, SABOO SIDDIK POLYTECHNIC ROAD, BYCULLA, MUMBAI",MUMBAI CITY,Private-Self Financing
JAWAHAR EDUCATION SOCIETY'S A. C. PATIL COLLEGE OF ENGINEERING,"PLOT NO. 17, SECTOR 4, KHARGHAR, NAVI MUMBAI 410210",MUMBAI SUBURBAN,Private-Self Financing
MAHARASHTRA INSTITUTE OF TECHNOLOGY,"NH-211,SATARA VILLAGE ROAD,",AURANGABAD,Private-Self Financing
ARHAM MANAGEMENT INSTITUTE,"S. NO. 86/2A/2A/1, MANJRI BUDRUK, TALUKA - HAVELI",PUNE,Private-Self Financing
D. Y. PATIL EDUCATION SOCIETY DEEMED TO BE UNIVERSITY,"869, E, D. Y. PATIL VIDYANAGAR, KASABA BAWADA, KOLHAPUR",KOLHAPUR,Deemed to be University(Pvt)
ALKESH DINESH MODY INSTITUTE FOR FINANCIAL AND MANAGEMENT STUDIES,"JORAVAR BHAVAN, OPP. NEW BOYS HOSTEL, MUMBAI UNIVERSITY, KALINA VIDYANAGARI CAMPUS, SANTACRUZ(E)",MUMBAI CITY,Government
VIVA INSTITUTE OF TECHNOLOGY,"AT:- SHIRGAON, POST:- VIRAR (EAST), TAL:- VASAI, DIST:- THANE.",THANE,Private-Self Financing
INSTITUTE OF INDUSTRIAL AND COMPUTER MANAGEMENT AND RESEARCH,HS2 SECTOR 27 A NIGDI PRADHIKARAN PUNE 411044,PUNE,Private-Self Financing
"HINDI SEVA MANDAL'S , SHRI SANT GADGE BABA COLLEGE OF ENGINEERING & TECHNOLOGY, BHUSAWAL.","NEAR Z.T.C., BHUSAWAL, DIST.- JALGAON. STATE-MAHARASHTRA",JALGAON,Private-Self Financing
INDIRA COLLEGE OF ENGINEERING & MANAGEMENT,"SR. NO. 64 AND 65, GAT NO. 276, AT POST PARANDWADI, TAL- MAVAL, DIST- PUNE. 410506",PUNE,Private-Self Financing
SHRI SHANKARPRASAD AGNIHOTRI COLLEGE OF ENGINEERING,AGNIHOTRI COLLEGE CAMPUS BAPUJI WADI SINDI MEGHE WARDHA,WARDHA,Private-Self Financing
SIPNA COLLEGE OF ENGINEERING & TECHNOLOGY,"SIPNA CAMPUS, INFRONT OF NEMANI GODOWN, BADNERA ROAD, AMRAVATI",AMRAVATI,Private-Self Financing
VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,"H R MAHAJANI MARG,MATUNGA,MUMBAI - 400 019",MUMBAI CITY,Govt aided
RAJENDRA MANE COLLEGE OF ENGINEERING & TECHNOLOGY,"A/P- AMBAV, DEVRUKH, TAL- SANGMESHWAR, DIST- RATNAGIRI",RATNAGIRI,Private-Self Financing
SSBT'S COLLEGE OF ENGINEERING & TECHNOLOGY,"POST BOX NO. 94 N.H. 6, BAMBHORI, JALGAON 425 001 MAHARASHTRA STATE",JALGAON,Private-Self Financing
SURYADATTA INSTITUTION OF BUSINESS MANAGEMENT & TECHNOLOGY,"""SHREE GANESH"",BUILDING NO. 2, SURVEY NO. 342, OFF PASHAN CHANDANI CHOWK ROAD,BESIDES DSK RANWARA,NEAR LALANI QUANTUM, BAVDHAN (BK).",PUNE,Private-Self Financing
"""SNJB'S SHRI. HIRALAL HASTIMAL (JAIN BROTHERS, JALGAON) POLYTECHNIC""","NEMINAGAR, A/P:CHANDWAD TAL: CHANDWAD DIST: NASHIK PIN:423101 MAHARASHTRA",NASHIK,Private-Self Financing
AL-AMEEN EDUCATIONAL & MEDICAL FOUNDATION'S COLLEGE OF ENGINEERING & MANAGEMENT STUDIES,"PIMPLE JAGTAP ROAD,SHARAD CAMPUS",PUNE,Private-Self Financing
SWAMINARAYAN SIDDHANTA INSTITUTE OF TECHNOLOGY,"NAGPUR KATOL HIGHWAY, KHAPRI (KOTHE), TAH. KALMESHWAR, DIST. NAGPUR",NAGPUR,Private-Self Financing
ALLANA INSTITUTE OF COMPUTER APPLICATION AND INFORMATION TECHNOLOGY,"2390 B, KB HIDAYTULLAH ROAD, AZAM CAMPUS, CAMP,",PUNE,Private-Self Financing
RAJEEV GANDHI COLLEGE OF MANAGEMENT STUDIES,"PLOT NO.01,SECTOR-8,GANSOLI,NAVI MUMBAI",THANE,Private-Self Financing
MET'S INSTITUTE OF COMPUTER SCIENCE,"G.A.K.VAIDYA CHAWK, BANDRA RECLAMATION, BANDRA (W) MUMBAI 400050",MUMBAI SUBURBAN,Private-Self Financing
"ADITYA COLLEGE OF MBA, BEED",NALWANDI ROAD BEED,BEED,Private-Self Financing
GHARDA FOUNDATION'S GHARDA INSTITUTE OF TECHNOLOGY,"AT & POST:LAVEL, TALUKA: KHED, DISTRICT. RATNAGIRI, MAHARASHTRA, PIN: 415 708.",RATNAGIRI,Private-Self Financing
SF'S SANDIP INSTITUTE OF TECHNOLOGY AND RESEARCH CENTRE,"TRIMBAK ROAD, MAHIRAVANI, NASHIK - 422213, MAHARASHTRA",NASHIK,Private-Self Financing
FR. CONCEICAO RODRIGUES COLLEGE OF ENGINEERING,"FR. AGNEL ASHRAM, BANDSTAND, BANDRA(W)",MUMBAI SUBURBAN,Private-Self Financing
KASEGAON EDUCATION SOCIETYS RAJARAMBAPU INSTITUTE OF TECHNOLOGY,"RAJARAMNAGAR, SAKHARALE, TAL. WALWA, DIST. SANGLI",SANGLI,Private-Self Financing
MGM'S INSTITUTE OF MANAGEMENT,"MGM CAMPUS, N-6, CIDCO, AURANGABAD - 431 003. (MAHARASHTRA)",AURANGABAD,Private-Self Financing
COEP TECHNOLOGICAL UNIVERSITY,"WELLESLY ROAD, SHIVAJINAGAR, PUNE",PUNE,State Government University
"S B JAIN INSTITUTE OF TECHNOLOGY, MANAGEMENT AND RESEARCH","BEHIND ASARAM BAPU ASHRAM, GRAM -YERALA, KATOL ROAD, NAGPUR",NAGPUR,Private-Self Financing
G V ACHARYA INSTITUTE OF ENGINEERING AND TECHNOLOGY,"VERACHARYA TECHNICAL EDUCATION CAMPUS, OPP. SHELU SUBURBAN RAILWAY STATION, SHELU/DAMAT,",RAIGAD,Private-Self Financing
"TAKSHASHILA INSTITUTE OF ENGINEERING & TECHNOLOGY, DARAPUR","AT. PO. DARAPUR,TQ.DARYAPUR, DIST.AMRAVATI, STATE MAHARASHTRA - 444 814",AMRAVATI,Private-Self Financing
MADHUKARRAO PANDAV COLLEGE OF ENGINEERING,AT-BHILEWADA DIST.-BHANDARA (M.S.),BHANDARA,Private-Self Financing
JSPM'S RAJARSHI SHAHU COLLEGE OF ENGINEERING,"S. NO. 80, PUNE-MUMBAI BYPASS HIGHWAY, TATHAWADE, PUNE-411033",PUNE,Private-Self Financing
INSTITUTE OF MANAGEMENT AND RESERACH,SR.NO.23/2/3A/P:NARHETAL.HAVELIDIST.PUNE,PUNE,Private-Self Financing
"BHARATI VIDYAPEETH COLLEGE OF ENGINEERING, NAVI MUMBAI","SECTOR-7, C.B.D., BELAPUR, NAVI MUMBAI-400614",THANE,Private-Self Financing
VIDYALANKAR INSTITUTE OF TECHNOLOGY,"VIDYALANKAR MARG, ANTOP HILL, WADALA(E)",MUMBAI CITY,Private-Self Financing
SAMARTH SAMAJ S.H.JONDHALE POLYTECHNIC,SHASTRI NAGAR OPP.RAILWAY STATION DOMBIVALI WEST,THANE,Private-Self Financing
AMRUTVAHINI INSTITUTE OF MANAGEMENT & BUSINESS ADMINSTRAION,"AMRUTNAGAR,",AHMEDNAGAR,Private-Self Financing
SINHGAD INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY,"GAT NO 309, 310 & 314 KUSGAON (BK.), OFF MUMBAI-PUNE EXPRESSWAY, TALUKA MAVAL, LONAVALA, DIST PUNE 410401",PUNE,Private-Self Financing
